Generic_Filter	Example_Filter	Count	First_Dataset
0	0	77	010411_500ngdc2_ScanStatsEx.txt
ITMS + p NSI d Z ms [0.00-0.00]	ITMS + p NSI d Z ms [351.00-361.00]	7807	010411_500ngdc2_ScanStatsEx.txt
ITMS + c NSI Full ms [0.00-0.00]	ITMS + c NSI Full ms [150.00-700.00]	24495	010411_500ngdc2_ScanStatsEx.txt
ITMS + p NSI SIM ms [0.00-0.00]	ITMS + p NSI SIM ms [329.10-335.10]	25473	0106_50cpdc25caf_ScanStatsEx.txt
ITMS + p NSI CRM ms3 0@cid00.00 0@cid00.00 [0.00-0.00, 0.00-0.00]	ITMS + p NSI CRM ms3 332.14@cid35.00 288.10@cid35.00 [240.00-250.00, 309.00-319.00]	2126	0106_50cpdc25caf_ScanStatsEx.txt
ITMS + p NSI SRM ms2 0@cid00.00 [0.00-0.00]	ITMS + p NSI SRM ms2 332.00@cid35.00 [283.00-293.00]	2126	0106_50cpdc25caf_ScanStatsEx.txt
ITMS + c NSI Full ms2 0@cid00.00 [0.00-0.00]	ITMS + c NSI Full ms2 195.00@cid35.00 [50.00-300.00]	15217	0106_50cpdc25caf_ScanStatsEx.txt
ITMS + p NSI CRM ms4 0@cid00.00 0@cid00.00 0@cid00.00 [0.00-0.00]	ITMS + p NSI CRM ms4 332.00@cid50.00 288.00@cid50.00 245.00@cid0.00 [200.00-300.00]	1174	0213_03cpdc100_ScanStatsEx.txt
FTMS + p NSI d Full ms2 0@cid00.00 [0.00-0.00]	FTMS + p NSI d Full ms2 819.00@cid35.00 [215.00-830.00]	10127	022810_His_Ctrl_102210_RPLC_012510_F4_2ndC1_H022210_4p5K_2_ScanStatsEx.txt
FTMS + p NSI d Full ms2 0@etd00.00 [0.00-0.00]	FTMS + p NSI d Full ms2 819.00@etd20.00 [100.00-830.00]	9926	022810_His_Ctrl_102210_RPLC_012510_F4_2ndC1_H022210_4p5K_2_ScanStatsEx.txt
FTMS + p NSI Full ms [0.00-0.00]	FTMS + p NSI Full ms [400.00-2000.00]	170982	022810_His_Ctrl_102210_RPLC_012510_F4_2ndC1_H022210_4p5K_2_ScanStatsEx.txt
ITMS - p NSI d Full ms [0.00-0.00]	ITMS - p NSI d Full ms [100.00-300.00]	110	022810_His_Ctrl_102210_RPLC_012510_F4_2ndC1_H022210_4p5K_2_ScanStatsEx.txt
ITMS - p NSI Full ms [0.00-0.00]	ITMS - p NSI Full ms [100.00-300.00]	331	022810_His_Ctrl_102210_RPLC_012510_F4_2ndC1_H022210_4p5K_2_ScanStatsEx.txt
FTMS + p NSI d Full ms2 0@pqd00.00 [0.00-0.00]	FTMS + p NSI d Full ms2 1161.19@pqd35.00 [50.00-2000.00]	2595	080210_HisHeLa031010_3ug_R051910_ScanStatsEx.txt
ITMS + c NSI d Full ms2 0@cid00.00 [0.00-0.00]	ITMS + c NSI d Full ms2 370.98@cid35.00 [90.00-755.00]	121594	1120_11_1000ngcpdc_ScanStatsEx.txt
ITMS + c NSI d Full ms3 0@cid00.00 0@cid00.00 [0.00-0.00]	ITMS + c NSI d Full ms3 346.00@cid35.00 258.07@cid35.00 [60.00-530.00]	1701	1120_11_1000ngcpdc_ScanStatsEx.txt
ITMS + c NSI d Full ms4 0@cid00.00 0@cid00.00 0@cid00.00 [0.00-0.00]	ITMS + c NSI d Full ms4 205.09@cid35.00 177.09@cid35.00 131.08@cid35.00 [50.00-275.00]	89	1120_11_1000ngcpdc_ScanStatsEx.txt
ITMS + c NSI Full ms3 0@cid00.00 0@cid00.00 [0.00-0.00]	ITMS + c NSI Full ms3 332.10@cid35.00 288.10@cid35.00 [75.00-350.00]	4148	1208_13_blank_ScanStatsEx.txt
ITMS + c NSI SIM ms [0.00-0.00]	ITMS + c NSI SIM ms [286.50-289.50]	6400	1217_1t100UDC_ScanStatsEx.txt
FTMS + p ESI Full ms [0.00-0.00]	FTMS + p ESI Full ms [300.00-1700.00]	11129	20091210_Velos1_NaNa_SA_Hela_PhosphoCID_replicate01_FR_03_ScanStatsEx.txt
ITMS + c ESI d w Full ms2 0@cid00.00 [0.00-0.00]	ITMS + c ESI d w Full ms2 323.44@cid35.00 [75.00-660.00]	17410	20091210_Velos1_NaNa_SA_Hela_PhosphoCID_replicate01_FR_03_ScanStatsEx.txt
FTMS + c NSI Full ms [0.00-0.00]	FTMS + c NSI Full ms [400.00-1700.00]	3581	20140219_Sphagnum_Deep_Aug2011_26Jun_BB_4pctSDS_TR2_11_ScanStatsEx.txt
FTMS - c NSI Full ms [0.00-0.00]	FTMS - c NSI Full ms [400.00-1700.00]	752	20140219_Sphagnum_Deep_Aug2011_26Jun_BB_4pctSDS_TR2_11_ScanStatsEx.txt
ITMS + p NSI d Full ms2 0@cid00.00 [0.00-0.00]	ITMS + p NSI d Full ms2 901.47@cid30.00 [235.00-1815.00]	14270	2015_06_15_Ecoli_digest_standard_400k-IT_3_ScanStatsEx.txt
FTMS - p NSI Full ms2 0@cid00.00 [0.00-0.00]	FTMS - p NSI Full ms2 652.20@cid0.00 [175.00-1200.00]	185	2016-03-18_DFO-E-1ppm_400k_iso625_neg_200avg_ScanStatsEx.txt
